"Staper","Fresgn","Datasgn","Nationsgn","Nationnm_en","Eftm0201","Eftm0202"
"2001-05","M","B","306","Ireland","215690","185130"
"2001-05","M","B","309","Netherlands","573830","2985900"
"2001-05","M","B","136","Thailand","1890100","1007420"
"2001-05","M","B","122","Malaysia","2280680","1039450"
"2001-05","M","B","502","United States of America","10099480","20318910"
"2001-05","M","B","331","Switzerland","638610","280500"
"2001-05","M","B","400","Latin America","1772280","2949890"
"2001-05","M","B","312","Spain","273260","934980"
"2001-05","M","B","132","Singapore","2105510","2345190"
"2001-05","M","B","116","Japan","17267870","17952430"
"2001-05","M","B","145","Kazakhstan","383580","158280"
"2001-05","M","B","609","New Zealand","264040","168550"
"2001-05","M","B","133","Republic of Korea","9447950","4738730"
"2001-05","M","B","303","United Kingdom","1415880","2573940"
"2001-05","M","B","110","China, Hong Kong","3653100","17406560"
"2001-05","M","B","330","Sweden","945870","468500"
"2001-05","M","B","112","Indonesia","1721480","1130980"
"2001-05","M","B","310","Greece","16510","299740"
"2001-05","M","B","126","Oman","901850","20000"
"2001-05","M","B","326","Norway","230190","144250"
"2001-05","M","B","114","Iraq","73010","162960"
"2001-05","M","A","126","Oman","108980","2890"
"2001-05","M","A","246","Sudan","93720","17210"
"2001-05","M","A","311","Portugal","5270","20520"
"2001-05","M","A","326","Norway","53250","28620"
"2001-05","M","A","609","New Zealand","64760","30230"
"2001-05","M","A","145","Kazakhstan","80090","31750"
"2001-05","M","A","306","Ireland","33390","35360"
"2001-05","M","A","137","Turkey","15710","44050"
"2001-05","M","A","331","Switzerland","113710","51040"
"2001-05","M","A","310","Greece","2740","52160"
"2001-05","M","A","114","Iraq","0","55600"
