CRE_Gdp01(Merge Query),,,,,,,,,,,
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2016,530000,云南省,14788.42,31093,4771,1990236,1149031.4,841204.6,4087,330.0474,187.4265
2016,310000,上海市,28178.65,116562,2420,43376819.1,18335213.2,25041605.9,79410,7342.4636,5087.2845
2016,320000,江苏省,77388.28,96887,7999,50929640.6,31905308.6,19024332,55938,8798.6813,4718.2292
2016,420000,湖北省,32665.38,55665,5885,3938877.3,2603934.2,1334943.1,8976,993.1627,544.068
2016,540000,西藏自治区,1151.41,35184,331,78192.2,47172.5,31019.7,236,22.5927,17.3567
2016,230000,黑龙江省,15386.09,40432,3799,1653917.8,503552.9,1150364.9,4227,282.8047,149.1008
2016,650000,新疆维吾尔自治区,9649.7,40564,2398,1763774.4,1558216.5,205557.9,1474,96.6596,56.2887
2016,430000,湖南省,31551.37,46382,6822,2624347,1769253.6,855093.4,6677,580,308.877
2016,340000,安徽省,24407.62,39561,6196,4441286.1,2844668.2,1596617.9,5549,672.5627,345.7685
2016,640000,宁夏回族自治区,3168.59,47194,675,325248.9,248674.8,76574.1,651,87.0693,53.0847
2016,460000,海南省,4053.2,44347,917,1134843,212579.9,922263.1,2660,760.3881,606.6839
2016,142,中国,746395.0595,53782.9974,139232,,,,,,
2015,420000,湖北省,29550.1881,50653.85,5851.5,4555258,2921181.6,1634076.4,8646,892.3134,481.6564
2015,540000,西藏自治区,1026.3911,31999,323.97,91383.9,58690.9,32693,221,19.9734,15.853
2015,640000,宁夏回族自治区,2911.77,43805,667.88,373925.5,296310.7,77614.8,584,89.7222,51.7528
2015,230000,黑龙江省,15083.67,39461.5644,3811.7,2101203.4,803541.3,1297662.1,4149,223.0199,126.8523
2015,650000,新疆维吾尔自治区,9324.8,40036,2359.73,1966939.7,1749608.2,217331.5,1384,85.184,48.2021
2015,340000,安徽省,22005.63,35996.5641,6143.6,4784453.2,3227017.4,1557435.8,5063,1064.8647,309.1647
2015,430000,湖南省,28902.2139,42753.86,6783.03,2930180.1,1913709.2,1016470.9,5865,521.4719,281.052
2015,460000,海南省,3702.76,40818,910.82,1396696.5,374303.6,1022392.9,3111,311.7354,180.1534
