表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
第二十类 杂项制品,2018,562.89,6.29,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2018,332.02,3.36,
"95章 玩具、游戏品、运动用品及
其零件、附件",2018,193.77,1.89,
96章 杂项制品,2018,37.10,1.04,
第二十一类 艺术品、收藏品及古物,2018,0.71,0.27,
97章 艺术品、收藏品及古物,2018,0.71,0.27,
第二十二类 特殊交易品及未分类商品,2018,14.64,3.77,
98章 特殊交易品及未分类商品,2018,14.64,3.77,
总额,2019,4186.64,1228.96,
第一类 活动物;动物产品,2019,16.19,21.24,
01章 活动物,2019,0.33,0.06,
02章 肉及食用杂碎,2019,0.03,8.67,
03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物,2019,13.34,9.12,
04章 乳品;蛋品;天然蜂蜜;其他食用动物产品,2019,0.13,1.78,
05章 其他动物产品,2019,2.37,1.61,
第二类 植物产品,2019,13.28,85.49,
06章 活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,2019,0.56,0.06,
07章 食用蔬菜、根及块茎,2019,4.95,0.32,
08章 食用水果及坚果;甜瓜或柑桔属水果的果皮,2019,1.56,9.66,
09章 咖啡、茶、马黛茶及调味香料,2019,2.13,0.17,
10章 谷物,2019,0.02,2.75,
11章 制粉工业产品;麦芽;淀粉;菊粉;面筋,2019,0.08,0.10,
12章 含油子仁及果实;杂项子仁及果实;工业用或药用植物;稻草、秸秆及饲料,2019,1.15,72.22,
13章 虫胶;树胶、树脂及其他植物液、汁,2019,2.74,0.20,
14章 编结用植物材料;其他植物产品,2019,0.10,0.02,
第三类 动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,2019,0.87,0.97,
15章 动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,2019,0.87,0.97,
第四类 食品;饮料、酒及醋;烟草、烟草及烟草代用品的制品,2019,32.43,19.01,
16章 肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,2019,10.80,0.03,
17章 糖及糖食,2019,2.04,0.93,
18章 可可及可可制品,2019,0.44,0.33,
19章 谷物、粮食粉、淀粉或乳的制品;糕饼点心,2019,1.94,1.48,
20章 蔬菜、水果、坚果或植物其他部分的制品,2019,7.85,2.80,
21章 杂项食品,2019,5.24,7.60,
22章 饮料、酒及醋,2019,0.68,1.56,
23章 食品工业的残渣及废料;配制的动物饲料,2019,3.32,4.26,
24章 烟草及烟草代用品的制品,2019,0.13,0.01,
第五类 矿产品,2019,12.52,46.55,
25章 盐;硫磺;泥土及石料;石膏料、石灰及水泥,2019,3.48,3.25,
26章 矿砂、矿渣及矿灰,2019,0.12,2.13,
27章 矿物燃料、矿物油及其蒸馏产品;沥青物质;矿物蜡,2019,8.93,41.18,
第六类 化学工业及其相关工业的产品,2019,138.63,152.80,
28章 无机化学品;贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,2019,9.85,8.53,
29章 有机化学品,2019,74.05,29.03,
30草 药品,2019,18.26,42.45,
31章 肥料,2019,0.10,0.50,
32章 鞣料浸膏及染料浸膏;鞣酸及其衍生物;染料、颜料及其他着色料;油漆及清漆;油灰及其他类似胶粘剂;墨水、油墨,2019,3.51,4.16,
33章 精油及香膏;芳香料制品及化妆盥洗品,2019,11.87,17.22,
34章 肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,2019,4.00,7.46,
35章 蛋白类物质;改性淀粉;胶;酶,2019,2.51,4.56,
36章 炸药;烟火制品;火柴;引火合金;易燃材料制品,2019,2.85,0.34,
37章 照相及电影用品,2019,0.21,5.08,
38章 杂项化学产品,2019,11.42,33.47,
"第七类 塑料及其制品,橡胶及其制品",2019,194.14,70.45,
39章 塑料及其制品,2019,170.90,62.46,
40章 橡胶及其制品,2019,23.24,7.99,
第八类 生皮、皮革、毛皮及其制品;鞍具及挽具:旅行用品、手提包及类似品;动物肠线(蚕胶丝除外)制品,2019,53.70,6.66,
41章 生皮(毛皮除外)及皮革,2019,0.12,5.64,
42章 皮革制品;鞍具及挽具;旅行用品、手提包及类似容器;动物肠线(蚕胶丝除外)制品,2019,53.23,0.98,
43章 毛皮、人造毛皮及其制品,2019,0.35,0.05,
"第九类 木及木制品;木炭;软木及软木制品;稻草,秸秆、针茅或其他编结材料制品;篮筐及柳条编结品",2019,33.02,15.80,
44章 木及木制品;木炭,2019,29.25,15.80,
45章 软木及软木制品,2019,0.06,0.00,
46章 稻草、秸秆、针茅或其他编结材料制品;篮筐及柳条编结品,2019,3.72,0.00,
第十类 木浆及其他纤维状纤维素浆;纸及纸板的废碎品;纸、纸板及其制品,2019,45.72,36.81,
47章 木浆及其他纤维状纤维素浆;纸及纸板的废碎品,2019,0.04,23.52,
48章 纸及纸板;纸浆、纸或纸板制品,2019,30.64,7.77,
49章 书籍、报纸、印刷图画及其他印制品;手稿、打字稿及设计图纸,2019,15.04,5.53,
第十一类 纺织原料及纺织制品,2019,426.22,13.68,
50章 蚕丝,2019,0.26,0.00,
51章 羊毛、动物细毛或粗毛;马毛纱线及其机织物,2019,0.17,0.07,
52章 棉花,2019,2.59,7.36,
53章 其他植物纺织纤维;纸纱线及其机织物,2019,0.24,0.00,
54章 化学纤维长丝,2019,5.58,1.15,
55章 化学纤维短纤,2019,3.48,0.82,
56章 絮胎、毡呢及无纺织物;特种纱线;线、绳、索、缆及其制品,2019,6.20,1.49,
57章 地毯及纺织材料的其他铺地制品,2019,5.21,0.20,
58章 特种机织物;簇绒织物;花边;装饰毯;装饰带;刺绣品,2019,3.26,0.21,
59章 浸渍、涂布、包覆或层压的纺织物;工业用纺织制品,2019,4.52,0.93,
60章 针织物及钩编织物,2019,5.11,0.13,
61章 针织或钩编的服装及衣着附件,2019,170.35,0.54,
62章 非针织或非钩编的服装及衣着附件,2019,131.32,0.48,
63章 其他纺织制成品;成套物品;旧衣着及旧纺织品;碎织物,2019,87.94,0.29,
第十二类 鞋、帽、伞、杖、鞭及其零件;已加工的羽毛及其制品;人造花;人发制品,2019,161.59,2.63,
64章 鞋靴、护腿和类似品及其零件,2019,114.98,2.46,
65章 帽类及其零件,2019,12.04,0.07,
66章 雨伞、阳伞、手杖、鞭子、马鞭及其零件,2019,5.33,0.00,
67章 已加工羽毛、羽绒及其制品;人造花;人发制品,2019,29.24,0.10,
第十三类 石料、石膏、水泥、石棉、云母及类似材料的制品;陶瓷产品;玻璃及其制品,2019,70.84,14.56,
68章 石料、石膏、水泥、石棉、云母及类似材料的制品,2019,11.99,2.44,
69章 陶瓷产品,2019,30.79,1.96,
70章 玻璃及其制品,2019,28.06,10.16,
第十四类 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品;仿首饰;硬币,2019,22.93,6.51,
71章 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品;仿首饰;硬币,2019,22.93,6.51,
第十五类 贱金属及其制品,2019,211.19,42.97,
72章 钢铁,2019,5.01,2.77,
73章 钢铁制品,2019,99.39,10.82,
74章 铜及其制品,2019,3.61,7.53,
75章 镍及其制品,2019,0.18,4.49,
76章 铝及其制品,2019,27.11,9.49,
78章 铅及其制品,2019,0.02,0.03,
79章 锌及其制品,2019,0.36,0.31,
80章 锡及其制品,2019,0.00,0.03,
81章 其他贱金属、金属陶瓷及其制品,2019,4.32,3.21,
82章 贱金属工具、器具、利口器、餐匙、餐叉及其零件,2019,35.58,2.63,
83章 贱金属杂项制品,2019,35.60,1.67,
第十六类 机器、机械器具、电气设备及其零件;录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,2019,1926.03,377.63,
84章 核反应堆、锅炉、机器、机械器具及其零件,2019,864.62,175.32,
85章 电机、电气设备及其零件;录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,2019,1061.41,202.32,
第十七类 车辆、航空器、船舶及有关运输设备,2019,174.06,178.61,
86章 铁道及电车道机车、车辆及其零件;铁道及电车轨道固定装置及其零件、附件;各种机械(包括电动机械)交通信号设备,2019,17.46,0.36,
"87章 车辆及其零件、附件,但铁道及电车道车辆除外",2019,142.97,106.84,
88章 航空器、航天器及其零件,2019,11.61,71.28,
89章 船舶及浮动结构体,2019,2.01,0.13,
第十八类 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备;钟表;乐器;上述物品的零件、附件,2019,107.91,123.82,
90章 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备;上述物品的零件、附件,2019,97.67,123.42,
91章 钟表及其零件,2019,5.19,0.15,
92章 乐器及其零件、附件,2019,5.05,0.26,
第十九类 武器、弹药及其零件、附件,2019,0.83,0.00,
93章 武器、弹药及其零件、附件,2019,0.83,0.00,
第二十类 杂项制品,2019,505.56,5.69,
94章 家具;寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品;未列名灯具及照明装置;发光标志、发光名牌及类似品;活动房屋,2019,275.33,2.59,
95章 玩具、游戏品、运动用品及其零件、附件,2019,190.49,2.05,
96章 杂项制品,2019,39.73,1.04,
第二十一类 艺术品、收藏品及古物,2019,0.76,0.63,
97章 艺术品、收藏品及古物,2019,0.76,0.63,
第二十二类 特殊交易品及未分类商品,2019,38.22,6.42,
98章 特殊交易品及未分类商品,2019,38.22,6.42,
总额,2020,4517.29,1352.51,
第一类 活动物;动物产品,2020,13.14,44.72,
01章 活动物,2020,0.03,0.17,
02章 肉及食用杂碎,2020,0.03,31.30,
03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物,2020,10.89,7.77,
04章 乳品;蛋品;天然蜂蜜;其他食用动物产品,2020,0.16,3.13,
05章 其他动物产品,2020,2.03,2.35,
第二类 植物产品,2020,15.32,147.10,
06章 活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,2020,0.52,0.07,
07章 食用蔬菜、根及块茎,2020,5.45,0.61,
08章 食用水果及坚果;甜瓜或柑桔属水果的果皮,2020,1.88,7.26,
09章 咖啡、茶、马黛茶及调味香料,2020,2.16,0.15,
10章 谷物,2020,0.02,24.48,
11章 制粉工业产品;麦芽;淀粉;菊粉;面筋,2020,0.14,0.10,
12章 含油子仁及果实;杂项子仁及果实;工业用或药用植物;稻草、秸秆及饲料,2020,1.28,114.19,
13章 虫胶;树胶、树脂及其他植物液、汁,2020,3.74,0.18,
14章 编结用植物材料;其他植物产品,2020,0.13,0.06,
第三类 动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,2020,0.92,1.33,
15章 动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,2020,0.92,1.33,
第四类 食品;饮料、酒及醋;烟草、烟草及烟草代用品的制品,2020,33.17,21.13,
16章 肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,2020,9.60,0.02,
17章 糖及糖食,2020,2.00,1.02,
18章 可可及可可制品,2020,0.17,0.29,
19章 谷物、粮食粉、淀粉或乳的制品;糕饼点心,2020,2.20,1.36,
20章 蔬菜、水果、坚果或植物其他部分的制品,2020,9.37,2.26,
21章 杂项食品,2020,6.20,8.73,
22章 饮料、酒及醋,2020,0.34,1.61,
23章 食品工业的残渣及废料;配制的动物饲料,2020,3.25,5.83,
24章 烟草及烟草代用品的制品,2020,0.04,0.00,
第五类 矿产品,2020,4.76,112.51,
25章 盐;硫磺;泥土及石料;石膏料、石灰及水泥,2020,1.67,3.59,
26章 矿砂、矿渣及矿灰,2020,0.07,8.80,
27章 矿物燃料、矿物油及其蒸馏产品;沥青物质;矿物蜡,2020,3.02,100.12,
第六类 化学工业及其相关工业的产品,2020,158.72,171.80,
28章 无机化学品;贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,2020,7.99,8.14,
29章 有机化学品,2020,73.53,31.76,
30草 药品,2020,24.10,49.35,
31章 肥料,2020,0.12,0.35,
32章 鞣料浸膏及染料浸膏;鞣酸及其衍生物;染料、颜料及其他着色料;油漆及清漆;油灰及其他类似胶粘剂;墨水、油墨,2020,4.03,3.45,
33章 精油及香膏;芳香料制品及化妆盥洗品,2020,11.14,22.90,
34章 肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,2020,8.33,7.69,
35章 蛋白类物质;改性淀粉;胶;酶,2020,2.98,4.83,
36章 炸药;烟火制品;火柴;引火合金;易燃材料制品,2020,2.86,0.27,
37章 照相及电影用品,2020,0.10,5.12,
38章 杂项化学产品,2020,23.52,37.94,
"第七类 塑料及其制品,橡胶及其制品",2020,244.20,72.42,
39章 塑料及其制品,2020,217.79,65.08,
40章 橡胶及其制品,2020,26.41,7.34,
第八类 生皮、皮革、毛皮及其制品;鞍具及挽具:旅行用品、手提包及类似品;动物肠线(蚕胶丝除外)制品,2020,40.47,5.55,
41章 生皮(毛皮除外)及皮革,2020,0.10,4.99,
42章 皮革制品;鞍具及挽具;旅行用品、手提包及类似容器;动物肠线(蚕胶丝除外)制品,2020,40.14,0.55,
43章 毛皮、人造毛皮及其制品,2020,0.23,0.02,
"第九类 木及木制品;木炭;软木及软木制品;稻草,秸秆、针茅或其他编结材料制品;篮筐及柳条编结品",2020,32.88,14.55,
44章 木及木制品;木炭,2020,28.96,14.55,
45章 软木及软木制品,2020,0.05,0.00,
46章 稻草、秸秆、针茅或其他编结材料制品;篮筐及柳条编结品,2020,3.87,0.00,
第十类 木浆及其他纤维状纤维素浆;纸及纸板的废碎品;纸、纸板及其制品,2020,41.66,35.16,
47章 木浆及其他纤维状纤维素浆;纸及纸板的废碎品,2020,0.03,21.04,
48章 纸及纸板;纸浆、纸或纸板制品,2020,29.03,8.65,
49章 书籍、报纸、印刷图画及其他印制品;手稿、打字稿及设计图纸,2020,12.60,5.47,
第十一类 纺织原料及纺织制品,2020,505.94,22.34,
50章 蚕丝,2020,0.13,0.00,
51章 羊毛、动物细毛或粗毛;马毛纱线及其机织物,2020,0.52,0.03,
52章 棉花,2020,2.12,16.06,
53章 其他植物纺织纤维;纸纱线及其机织物,2020,0.17,0.00,
54章 化学纤维长丝,2020,4.25,0.94,
55章 化学纤维短纤,2020,2.61,0.63,
56章 絮胎、毡呢及无纺织物;特种纱线;线、绳、索、缆及其制品,2020,8.96,2.00,
57章 地毯及纺织材料的其他铺地制品,2020,5.56,0.05,
58章 特种机织物;簇绒织物;花边;装饰毯;装饰带;刺绣品,2020,2.83,0.13,
59章 浸渍、涂布、包覆或层压的纺织物;工业用纺织制品,2020,4.08,0.76,
60章 针织物及钩编织物,2020,4.34,0.08,
61章 针织或钩编的服装及衣着附件,2020,141.39,0.36,
62章 非针织或非钩编的服装及衣着附件,2020,112.01,0.56,
63章 其他纺织制成品;成套物品;旧衣着及旧纺织品;碎织物,2020,216.98,0.74,
第十二类 鞋、帽、伞、杖、鞭及其零件;已加工的羽毛及其制品;人造花;人发制品,2020,123.72,1.59,
64章 鞋靴、护腿和类似品及其零件,2020,77.47,1.46,
65章 帽类及其零件,2020,10.50,0.06,
66章 雨伞、阳伞、手杖、鞭子、马鞭及其零件,2020,4.82,0.00,
67章 已加工羽毛、羽绒及其制品;人造花;人发制品,2020,30.93,0.08,
第十三类 石料、石膏、水泥、石棉、云母及类似材料的制品;陶瓷产品;玻璃及其制品,2020,73.18,13.00,
68章 石料、石膏、水泥、石棉、云母及类似材料的制品,2020,13.09,2.45,
69章 陶瓷产品,2020,30.34,2.05,
70章 玻璃及其制品,2020,29.75,8.50,
第十四类 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品;仿首饰;硬币,2020,14.23,7.14,
71章 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品;仿首饰;硬币,2020,14.23,7.14,
第十五类 贱金属及其制品,2020,229.81,37.13,
72章 钢铁,2020,3.94,4.15,
73章 钢铁制品,2020,110.32,9.54,
74章 铜及其制品,2020,3.40,7.67,
75章 镍及其制品,2020,0.11,3.31,
76章 铝及其制品,2020,29.63,5.50,
78章 铅及其制品,2020,0.01,0.03,
79章 锌及其制品,2020,0.35,0.29,
80章 锡及其制品,2020,0.01,0.02,
81章 其他贱金属、金属陶瓷及其制品,2020,3.14,2.98,
82章 贱金属工具、器具、利口器、餐匙、餐叉及其零件,2020,39.33,2.12,
83章 贱金属杂项制品,2020,39.57,1.53,
第十六类 机器、机械器具、电气设备及其零件;录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,2020,2066.10,379.07,
84章 核反应堆、锅炉、机器、机械器具及其零件,2020,950.63,169.78,
85章 电机、电气设备及其零件;录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,2020,1115.47,209.29,
第十七类 车辆、航空器、船舶及有关运输设备,2020,170.57,136.60,
86章 铁道及电车道机车、车辆及其零件;铁道及电车轨道固定装置及其零件、附件;各种机械(包括电动机械)交通信号设备,2020,24.14,0.19,
"87章 车辆及其零件、附件,但铁道及电车道车辆除外",2020,140.12,108.88,
88章 航空器、航天器及其零件,2020,4.60,27.43,
89章 船舶及浮动结构体,2020,1.71,0.11,
第十八类 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备;钟表;乐器;上述物品的零件、附件,2020,119.44,118.28,
90章 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备;上述物品的零件、附件,2020,109.61,117.93,
91章 钟表及其零件,2020,4.49,0.12,
92章 乐器及其零件、附件,2020,5.33,0.23,
第十九类 武器、弹药及其零件、附件,2020,1.19,0.00,
93章 武器、弹药及其零件、附件,2020,1.19,0.00,
第二十类 杂项制品,2020,569.82,4.57,
94章 家具;寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品;未列名灯具及照明装置;发光标志、发光名牌及类似品;活动房屋,2020,294.33,1.82,
95章 玩具、游戏品、运动用品及其零件、附件,2020,232.72,1.82,
96章 杂项制品,2020,42.77,1.00,
第二十一类 艺术品、收藏品及古物,2020,0.68,0.45,
97章 艺术品、收藏品及古物,2020,0.68,0.45,
第二十二类 特殊交易品及未分类商品,2020,57.38,6.05,
98章 特殊交易品及未分类商品,2020,56.72,6.05,
99章跨境电商B2B简化申报商品,2020,0.66,,
总额,2021,5760.75,1797.01,
第一类 活动物;动物产品,2021,13.98,59.63,
01章 活动物,2021,0.04,0.47,
02章 肉及食用杂碎,2021,0.03,41.13,
03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物,2021,11.2,9.75,
04章 乳品;蛋品;天然蜂蜜;其他食用动物产品,2021,0.18,4.85,
05章 其他动物产品,2021,2.53,3.44,
第二类 植物产品,2021,18.14,275.24,
06章 活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,2021,0.86,0.08,
07章 食用蔬菜、根及块茎,2021,6.06,0.48,
08章 食用水果及坚果;甜瓜或柑桔属水果的果皮,2021,2.35,10.21,
09章 咖啡、茶、马黛茶及调味香料,2021,2.31,0.17,
10章 谷物,2021,0.01,85.78,
11章 制粉工业产品;麦芽;淀粉;菊粉;面筋,2021,0.23,0.08,
12章 含油子仁及果实;杂项子仁及果实;工业用或药用植物;稻草、秸秆及饲料,2021,1.5,178.11,
13章 虫胶;树胶、树脂及其他植物液、汁,2021,4.66,0.24,
14章 编结用植物材料;其他植物产品,2021,0.15,0.09,
第三类 动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,2021,1.1,133,
15章 动、植物油、脂及其分解产品;精制的食用油脂;动、植物蜡,2021,1.1,1.33,
第四类食品;饮料、酒及醋;烟草、烟草及烟草代用品的制品,2021,39.01,29.18,
16章 肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,2021,12.7,0.03,
17章 糖及糖食,2021,2.41,1.4,
18章 可可及可可制品,2021,0.41,0.48,
19章 谷物、粮食粉、淀粉或乳的制品;糕饼点心,2021,2.46,0.8,
20章 蔬菜、水果、坚果或植物其他部分的制品,2021,8.93,3.37,
21章 杂项食品,2021,7.36,9.88,
22章 饮料、酒及醋,2021,0.49,4.23,
23章 食品工业的残渣及废料;配制的动物饲料,2021,4.24,7.18,
24章 烟草及烟草代用品的制品,2021,,1.81,
第五类 矿产品,2021,8.19,243.1,
25章 盐;硫磺;泥土及石料;石膏料、石灰及水泥,2021,3.15,6.15,
26章 矿砂、矿渣及矿灰,2021,0.19,23.09,
27章 矿物燃料、矿物油及其蒸馏产品;沥青物质;矿物蜡,2021,4.86,213.85,
第六类 化学工业及其相关工业的产品,2021,199.64,210.07,
28章 无机化学品;贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,2021,11.87,10.87,
29章 有机化学品,2021,104.87,40.67,
30章 药品,2021,28.38,62.44,
31章 肥料,2021,0.08,0.18,
32章 鞣料浸膏及染料浸膏;鞣酸及其衍生物;染料、颜料及其他着色料;油漆及清漆;油灰及其他类似胶粘剂;墨水、油墨,2021,4.64,4.36,
33章 精油及香膏;芳香料制品及化妆盥洗品,2021,13.58,25.14,
34章 肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,2021,6.06,10.12,
35章 蛋白类物质;改性淀粉;胶;酶,2021,3.56,5.61,
36章 炸药;烟火制品;火柴;引火合金;易燃材料制品,2021,4.98,0.28,
37章 照相及电影用品,2021,0.14,5.95,
38章 杂项化学产品,2021,21.47,44.45,
"第七类 塑料及其制品,橡胶及其制品",2021,327.54,80.58,
39章 塑料及其制品,2021,279.03,73.32,
40章 橡胶及其制品,2021,48.51,7.25,
第八类 生皮、皮革、毛皮及其制品;鞍具及挽具;旅行用品、手提包及类似品;动物肠线(蚕胶丝除外)制品,2021,64.19,7.62,
41章 生皮(毛皮除外)及皮革,2021,0.09,7.02,
42章 皮革制品;鞍具及挽具;旅行用品、手提包及类似容器;动物肠线(蚕胶丝除外)制品,2021,63.77,0.59,
43章 毛皮、人造毛皮及其制品,2021,0.33,0.01,
"第九类 木及木制品;木炭;软木及软木制品;稻草,秸秆、针茅或其他编结材料制品:篮筐及柳条编结品",2021,45.39,19.67,
44章 木及木制品;木炭,2021,39.09,19.66,
45章 软木及软木制品,2021,0.07,,
46章 稻草、秸秆、针茅或其他编结材料制品;篮筐及柳条编结品,2021,6.23,,
第十类 木浆及其他纤维状纤维素浆;纸及纸板的废碎品;纸、纸板及其制品,2021,53.49,31.63,
47章 木浆及其他纤维状纤维素浆;纸及纸板的废碎品,2021,0.03,16.83,
48章 纸及纸板;纸浆、纸或纸板制品,2021,36.69,8,
49章 书籍、报纸、印刷图画及其他印制品;手稿、打字稿及设计图纸,2021,16.77,6.8,
第十一类 纺织原料及纺织制品,2021,516.52,22.09,
50章 蚕丝,2021,0.16,,
51章 羊毛、动物细毛或粗毛;马毛纱线及其机织物,2021,0.48,0.09,
52章 棉花,2021,1.42,16.03,
53章 其他植物纺织纤维;纸纱线及其机织物,2021,0.27,,
54章 化学纤维长丝,2021,5.02,1.07,
55章 化学纤维短纤,2021,2.88,0.9,
56章 絮胎、毡呢及无纺织物;特种纱线;线、绳、索、缆及其制品,2021,9.4,2.03,
57章 地毯及纺织材料的其他铺地制品,2021,7.21,0.06,
58章 特种机织物;簇绒织物;花边;装饰毯;装饰带;刺绣品,2021,3.58,0.16,
59章 浸渍、涂布、包覆或层压的纺织物;工业用纺织制品,2021,5.13,0.86,
60章 针织物及钩编织物,2021,5.26,0.1,
61章 针织或钩编的服装及衣着附件,2021,216.41,0.29,
62章 非针织或非钩编的服装及衣着附件,2021,130.87,0.32,
63章 其他纺织制成品;成套物品;旧衣着及旧纺织品;碎织物,2021,128.45,0.19,
第十二类 鞋、帽、伞、杖、鞭及其零件;已加工的羽毛及其制品;人造花;人发制品,2021,204.46,1.21,
64章 鞋靴、护腿和类似品及其零件,2021,121.26,1.08,
65章 帽类及其零件,2021,15.75,0.06,
66章 雨伞、阳伞、手杖、鞭子、马鞭及其零件,2021,7.49,,
67章 已加工羽毛、羽绒及其制品;人造花;人发制品,2021,59.97,0.07,
第十三类 石料、石膏、水泥、石棉、云母及类似材料的制品;陶瓷产品;玻璃及其制品,2021,108.57,15.24,
68章 石料、石膏、水泥、石棉、云母及类似材料的制品,2021,17.99,2.97,
69章 陶瓷产品,2021,48.62,2.47,
70章 玻璃及其制品,2021,41.97,9.8,
第十四类 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品;仿首饰;硬币,2021,26.19,10.82,
71章 天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品;仿首饰;硬币,2021,26.19,10.82,
第十五类 贱金属及其制品,2021,334.67,51.72,
72章 钢铁,2021,8.74,3.04,
73章 钢铁制品,2021,162.34,10.98,
74章 铜及其制品,2021,6.3,21.7,
75章 镍及其制品,2021,0.19,4.2,
76章 铝及其制品,2021,43.9,4.1,
78章 铅及其制品,2021,0.87,0.04,
79章 锌及其制品,2021,0.36,0.24,
80章 锡及其制品,2021,0.02,0.03,
81章 其他贱金属、金属陶瓷及其制品,2021,4.38,3.22,
82章 贱金属工具、器具、利口器、餐匙、餐叉及其零件,2021,53.51,2.35,
83章 贱金属杂项制品,2021,54.06,1.83,
第十六类 机器、机械器具、电气设备及其零件;录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,2021,2486.57,421.8,
84章 核反应堆、锅炉、机器、机械器具及其零件,2021,1139.39,196.78,
85章 电机、电气设备及其零件;录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,2021,1347.18,225.01,
第十七类车辆、航空器、船舶及有关运输设备,2021,258.29,169.76,
86章 铁道及电车道机车、车辆及其零件;铁道及电车轨道固定装置及其零件、附件;各种机械(包括电动机械)交通信号设备,2021,59.6,0.45,
"87章 车辆及其零件、附件,但铁道及电车道车辆除外",2021,190.84,138.37,
88章 航空器、航天器及其零件,2021,5.6,30.64,
89章 船舶及浮动结构体,2021,2.25,0.29,
第十八类 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备;钟表;乐器;上述物品的零件、附件,2021,144.77,129.01,
90章 光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备;上述物品的零件、附件,2021,132.61,128.55,
91章 钟表及其零件,2021,5.33,0.11,
92章 乐器及其零件、附件,2021,6.83,0.35,
第十九类 武器、弹药及其零件、附件,2021,2.15,,
93章 武器、弹药及其零件、附件,2021,2.15,,
第二十类杂项制品,2021,817.36,4.14,
94章 家具;寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品:未列名灯具及照明装置;发光标志、发光名牌及类似品;活动房屋,2021,392.14,1.8,
95章 玩具、游戏品、运动用品及其零件、附件,2021,370.54,1.32,
96章 杂项制品,2021,54.68,1,
第二十一类 艺术品、收藏品及古物,2021,1.2,5.34,
97章 艺术品、收藏品及古物,2021,1.2,5.34,
第二十二类 特殊交易品及未分类商品,2021,79.48,1.06,
98章 特殊交易品及未分类商品,2021,79.48,1.06,
99章跨境电商B2B简化申报商品,2021,,,
总额,2022,5775.17,1769.35,
第一类 活动物;动物产品,2022,16.81,62.97,
01章 活动物,2022,0.06,0.24,
02章 肉及食用杂碎,2022,0.03,40.41,
03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物,2022,14.22,11.34,
04章 乳品;蛋品;天然蜂蜜;其他食用动物产品,2022,0.18,4.84,
05章 其他动物产品,2022,2.32,6.14,
第二类 植物产品,2022,18.21,284.72,
06章 活树及其他活植物;鳞茎、根及类似品;插花及装饰用簇叶,2022,0.82,0.04,
07章 食用蔬菜、根及块茎,2022,6.10,0.29,
08章 食用水果及坚果;甜瓜或柑桔属水果的果皮,2022,2.54,6.55,
09章 咖啡、茶、马黛茶及调味香料,2022,2.17,0.22,
10章 谷物,2022,0.01,79.41,
